Model year,Make,Model,Vehicle class,Engine_size,Cylinders,Transmission,Fuel type,City (L/100 km),Highway (L/100 km),Combined,Combined (mpg),CO2emissions,CO2 rating,Smog rating
2025,Audi,SQ5 quattro,Sport utility vehicle: Small,3,6,AS8,Z,12.6,9.8,11.4,25,266,4,4
2025,Audi,SQ5 Sportback quattro,Sport utility vehicle: Small,3,6,AS8,Z,12.6,9.8,11.4,25,266,4,4
2025,Audi,All-new SQ5 quattro,Sport utility vehicle: Small,3,6,AM7,Z,12.2,8.9,10.7,26,251,5,4
2025,Audi,All-new SQ5 Sportback quattro,Sport utility vehicle: Small,3,6,AM7,Z,12.2,8.9,10.7,26,251,5,4
2025,Audi,SQ7 quattro,Sport utility vehicle: Standard,4,8,AS8,Z,16,11.2,13.8,20,325,3,2
2025,Audi,SQ8 quattro,Sport utility vehicle: Standard,4,8,AS8,Z,16.1,11.9,14.2,20,335,3,2
2025,Bentley,Bentayga,Sport utility vehicle: Standard,4,8,AS8,Z,17.1,11.4,14.6,19,343,3,2
2025,Bentley,Bentayga EWB,Sport utility vehicle: Standard,4,8,AS8,Z,17.1,11.4,14.6,19,343,3,2
2025,BMW,230i xDrive Coupe,Subcompact,2,4,AS8,Z,9.5,7.1,8.4,34,194,6,2
2025,BMW,330i xDrive Sedan,Compact,2,4,AS8,Z,8.9,6.9,8,35,185,6,7
2025,BMW,430i xDrive Cabriolet,Subcompact,2,4,AS8,Z,9.6,7.1,8.5,33,196,6,7
2025,BMW,430i xDrive Coupe,Subcompact,2,4,AS8,Z,8.7,6.9,7.9,36,183,6,7
2025,BMW,530i xDrive Sedan,Mid-size,2,4,AS8,Z,8.7,6.8,7.9,36,182,6,6
2025,BMW,760i xDrive Sedan,Full-size,4.4,8,AS8,Z,13.3,9.3,11.5,25,265,4,4
2025,BMW,ALPINA XB7,Sport utility vehicle: Standard,4.4,8,AS8,Z,15.2,11.6,13.6,21,314,4,4
2025,BMW,M2 Coupe,Subcompact,3,6,AS8,Z,14.4,10.3,12.5,23,290,4,4
2025,BMW,M2 Coupe,Subcompact,3,6,M6,Z,14.7,10,12.6,22,294,4,4
2025,BMW,M240i xDrive Coupe,Subcompact,3,6,AS8,Z,10.3,7.3,9,31,209,5,4
2025,BMW,M3 Sedan,Compact,3,6,M6,Z,14.7,10.1,12.6,22,293,4,4
2025,BMW,M3 Competition Sedan,Compact,3,6,AS8,Z,14.5,10.2,12.6,22,292,4,4
2025,BMW,M3 Competition M xDrive Sedan,Compact,3,6,AS8,Z,14.9,10.3,12.8,22,296,4,4
2025,BMW,M340i xDrive Sedan,Compact,3,6,AS8,Z,9,7.1,8.2,34,189,6,6
2025,BMW,M4 Coupe,Subcompact,3,6,M6,Z,14.7,10.1,12.6,22,293,4,4
2025,BMW,M4 Competition Coupe,Subcompact,3,6,AS8,Z,14.5,10.2,12.6,22,292,4,4
2025,BMW,M4 Competition M xDrive Cabriolet,Subcompact,3,6,AS8,Z,14.9,10.5,12.9,22,297,4,4
2025,BMW,M4 Competition M xDrive Coupe,Subcompact,3,6,AS8,Z,14.7,10.2,12.7,22,293,4,4
2025,BMW,M4 CS Coupe,Subcompact,3,6,AS8,Z,15,10.3,12.9,22,297,4,4
2025,BMW,M440i xDrive Cabriolet,Subcompact,3,6,AS8,Z,9.2,7.3,8.4,34,194,6,6
2025,BMW,M440i xDrive Coupe,Subcompact,3,6,AS8,Z,8.9,7.1,8.1,35,187,6,6
2025,BMW,M8 Competition Cabriolet,Subcompact,4.4,8,AS8,Z,16.1,10.9,13.8,20,321,3,2
2025,BMW,M8 Competition Coupe,Subcompact,4.4,8,AS8,Z,16.1,10.9,13.8,20,321,3,2
2025,BMW,M8 Competition Gran Coupe,Mid-size,4.4,8,AS8,Z,16.1,10.9,13.8,20,321,3,2
2025,BMW,M850i xDrive Cabriolet,Subcompact,4.4,8,AS8,Z,14.2,9.9,12.2,23,285,4,2
2025,BMW,M850i xDrive Coupe,Subcompact,4.4,8,AS8,Z,14.1,9.9,12.2,23,284,4,2
2025,BMW,M850i xDrive Gran Coupe,Mid-size,4.4,8,AS8,Z,14.2,9.9,12.2,23,285,4,2
2025,BMW,X1 xDrive28i,Sport utility vehicle: Small,2,4,AM7,Z,9.7,7.1,8.5,33,198,6,7
2025,BMW,X1 M35i,Sport utility vehicle: Small,2,4,AM7,Z,10.1,7.6,9,31,208,5,5
2025,BMW,X2 xDrive28i,Sport utility vehicle: Small,2,4,AM7,Z,9.7,7.1,8.5,33,198,6,7
2025,BMW,X2 M35i,Sport utility vehicle: Small,2,4,AM7,Z,10.3,7.3,8.9,32,206,5,5
2025,BMW,X3 xDrive30i,Sport utility vehicle: Small,2,4,AS8,Z,8.8,7.1,8.1,35,186,6,7
2025,BMW,X3 M50i xDrive,Sport utility vehicle: Small,3,6,AS8,Z,9.3,7.7,8.6,33,199,6,6
2025,BMW,X4 xDrive30i,Sport utility vehicle: Small,2,4,AS8,Z,11.1,8.6,9.9,29,231,5,6
2025,BMW,X4 M,Sport utility vehicle: Small,3,6,AS8,Z,15.7,11.7,13.9,20,323,3,2
2025,BMW,X4 M Competition,Sport utility vehicle: Small,3,6,AS8,Z,15.7,11.7,13.9,20,323,3,2
2025,BMW,X4 M40i xDrive,Sport utility vehicle: Small,3,6,AS8,Z,10.9,9,10,28,234,5,4
2025,BMW,X5 xDrive40i,Sport utility vehicle: Standard,3,6,AS8,Z,10.1,8.7,9.4,30,218,5,6
2025,BMW,X5 M Competition,Sport utility vehicle: Standard,4.4,8,AS8,Z,18.2,12.9,15.8,18,366,2,4
2025,BMW,X5 M60i xDrive,Sport utility vehicle: Standard,4.4,8,AS8,Z,13.8,10.5,12.3,23,285,4,4
2025,BMW,X6 xDrive40i,Sport utility vehicle: Standard,3,6,AS8,Z,10.3,8.9,9.6,29,223,5,6
2025,BMW,X6 M Competition,Sport utility vehicle: Standard,4.4,8,AS8,Z,18.2,12.9,15.8,18,366,2,4
2025,BMW,X6 M60i xDrive,Sport utility vehicle: Standard,4.4,8,AS8,Z,13.8,10.5,12.3,23,285,4,4
2025,BMW,X7 xDrive40i,Sport utility vehicle: Standard,3,6,AS8,Z,11.6,9.6,10.7,26,247,5,6
2025,BMW,X7 M60i xDrive,Sport utility vehicle: Standard,4.4,8,AS8,Z,14.7,11.6,13.3,21,310,4,4
2025,BMW,Z4 sDrive30i,Two-seater,2,4,AS8,Z,9.4,7.1,8.4,34,194,6,6
2025,BMW,Z4 M40i,Two-seater,3,6,AS8,Z,10.4,8,9.3,30,215,5,4
2025,BMW,Z4 M40i,Two-seater,3,6,M6,Z,12.6,8.9,10.9,26,253,5,4
2025,Bugatti,Mistral,Two-seater,8,16,AM7,Z,29.7,19.2,25,11,586,1,1
2025,Buick,Enclave AWD,Sport utility vehicle: Standard,2.5,4,A8,X,12.3,9.9,11.2,25,262,4,5
2025,Buick,Encore GX,Sport utility vehicle: Small,1.3,3,AV,X,8,7.6,7.8,36,183,6,6
2025,Buick,Encore GX AWD,Sport utility vehicle: Small,1.3,3,A9,X,9.1,8.4,8.8,32,207,5,6
2025,Buick,Envision AWD,Sport utility vehicle: Small,2,4,AS9,X,10.8,8.3,9.7,29,229,5,6
2025,Buick,Envista,Station wagon: Small,1.2,3,A6,X,8.4,7.4,7.9,36,185,6,6
2025,Cadillac,CT4,Compact,2,4,AS8,Z,10.6,7.3,9.1,31,214,5,6
2025,Cadillac,CT4,Compact,2.7,4,AS10,Z,11,7.6,9.5,30,221,5,5
2025,Cadillac,CT4 AWD,Compact,2,4,AS8,Z,11,7.6,9.5,30,223,5,6
2025,Cadillac,CT4 AWD,Compact,2.7,4,AS10,Z,11.3,8.1,9.9,29,231,5,5
2025,Cadillac,CT4-V,Compact,2.7,4,AS10,Z,11.8,8.2,10.2,28,236,5,5
2025,Cadillac,CT4-V,Compact,3.6,6,AS10,Z,15,9.7,12.6,22,297,4,4
2025,Cadillac,CT4-V,Compact,3.6,6,M6,Z,15.2,10.2,12.9,22,303,4,4
2025,Cadillac,CT4-V AWD,Compact,2.7,4,AS10,Z,12,8.4,10.4,27,244,5,5
2025,Cadillac,CT5,Mid-size,2,4,AS10,Z,10.4,7.3,9,31,212,5,6
2025,Cadillac,CT5,Mid-size,3,6,AS10,Z,12.3,8.4,10.6,27,249,5,4
2025,Cadillac,CT5 AWD,Mid-size,2,4,AS10,Z,11,7.8,9.6,29,224,5,6
2025,Cadillac,CT5 AWD,Mid-size,3,6,AS10,Z,13.1,9,11.2,25,264,4,4
2025,Cadillac,CT5-V,Mid-size,3,6,AS10,Z,13.1,8.7,11.1,25,261,4,4
2025,Cadillac,CT5-V,Mid-size,6.2,8,AS10,Z,18.5,11.5,15.3,18,360,2,2
2025,Cadillac,CT5-V,Mid-size,6.2,8,M6,Z,18.7,11.6,15.5,18,365,2,2
2025,Cadillac,CT5-V AWD,Mid-size,3,6,AS10,Z,13.8,9,11.7,24,275,4,4
2025,Cadillac,Escalade 4WD,Sport utility vehicle: Standard,6.2,8,A10,Z,16.6,13,15,19,352,3,5
2025,Cadillac,Escalade-V AWD,Sport utility vehicle: Standard,6.2,8,AS10,Z,20.8,13.8,17.7,16,415,1,2
2025,Cadillac,XT4 AWD,Sport utility vehicle: Small,2,4,AS9,Z,10.4,8.3,9.5,30,222,5,6
2025,Cadillac,XT5,Sport utility vehicle: Small,2,4,AS9,Z,10.9,8.2,9.7,29,228,5,6
